Names,Re,Re_err,Mstar,Mstar_err,SFR_tot,SFR_tot_err,MH2,MH2_err,MHI,MHI_err,Mgas,Mgas_err,Mbar,Mbar_err
U4_19708,6.853139566126949,0.10423025956086616,181970085860.99826,18197008586.099827,210.35791,21.035791,206112160126.05893,20396915186.1872,24500265048.4203,2679344853.5413284,238697512640.45792,20705865970.517063,420667598501.4562,300149320653.90497
U4_20987,2.7012494103176525,0.048236596612815215,5370317963.702533,537031796.3702533,22.01332,2.201332,7855564057.236691,643318089.587634,1170295808.143857,108807174.28993674,9412057482.068022,659393792.4886833,14782375445.770554,10836380441.688948
U4_21424,6.245795903637657,0.13898850411432895,18197008586.099827,1819700858.6099825,8.912509,0.8912509,23844074977.477898,2260962916.4325976,3134027642.2193885,332097724.22375757,28012331741.629684,2303702094.873458,46209340327.72951,33403919696.432404
U4_21533,5.8706441440405035,0.06451257301143411,128824955169.31323,12882495516.931324,43.199867,4.319986699999999,99988470018.16212,8912702862.617819,12779507996.275963,1268870167.0842893,116985215653.20915,9071067028.70655,245810170822.5224,174015544580.94662
U4_22575,1.633216446794454,0.0608112506785169,14125375446.227554,1412537544.6227555,20.892963,2.0892963000000004,19804964827.228443,1902438690.3448875,2634618707.7888136,283218858.2403981,23309007708.587566,1939371446.5390177,37434383154.815125,27255019204.834232
U4_25158,2.675536055477279,0.09555485912418853,7413102413.009162,741310241.3009162,29.477654,2.9477654,12071426270.869858,1139088407.329731,1654526355.756291,175352247.16130796,14271946324.025724,1162718049.7420435,21685048737.034885,16082367340.091248
U4_25264,2.2062849116847927,0.060803127487376166,6918309709.189363,691830970.9189363,6.6069345,0.66069345,9552617253.046934,872815023.8529719,1326828425.9072986,136386139.5439988,11317299059.503641,891464913.2199169,18235608768.693005,13264398487.474123
U4_26264,1.4080379096703113,0.059375092576458906,9120108393.559114,912010839.3559114,10.964781,1.0964781000000001,14470938083.807508,1405807363.3181317,1898009954.4712996,206001170.80441022,16995291323.254337,1432257042.7226748,26115399716.813454,19287724185.931103
U4_26875,2.0904456658987787,0.04319102615493344,151356124843.62073,15135612484.362072,166.654,16.665399999999998,150118290107.8589,14792271657.201212,18358057155.30195,2005121984.2391968,174534506124.4105,15030741442.08202,325890630968.03125,231021579848.6574
U4_28358,3.8457014748662535,0.07795340827431595,91201083935.59116,9120108393.559116,88.403534,8.8403534,99838135384.21375,9739396344.352564,12426359337.975533,1346264883.2016532,116365193303.7212,9902618191.70072,207566277239.31238,147846190088.34534
U4_28931,2.963335973116328,0.06952107854818364,8128305161.640995,812830516.1640995,9.772372,0.9772372000000001,11711006372.075169,1081255500.2042792,1604829712.8031108,166414809.89764467,13845429890.103306,1103676210.168292,21973735051.7443,16055070029.200298
U4_30029,1.1829214935991519,0.02590339037078435,5754399373.371567,575439937.3371567,6.918309,0.6918308999999999,7695140390.489357,676828481.8599994,1093569259.5250926,108523151.6853345,9149587505.65773,692047407.7941161,14903986879.029297,10808703144.778614
U4_31577,4.498911517648777,0.06079610158984832,117489755493.95303,11748975549.395302,335.19727,33.519727,141458689387.8195,13744511454.812302,17294895154.274975,1862597704.7626152,164460899943.00522,13965972476.185062,281950655436.95825,202116872764.47763
U4_32491,6.162710182772435,0.10052099419829566,4677351412.871982,467735141.2871982,10.689595,1.0689595,6435232346.629891,490593161.6413633,977943474.5635449,84872239.91816685,7735897167.799406,503411921.2979524,12413248580.671387,9040006705.211142
U4_33182,3.1194039067968298,0.056277905534994344,41686938347.03346,4168693834.703346,5.2292776,0.52292776,30483558070.59851,2592652334.7902856,4105782581.0016284,391370763.841253,35944248903.33067,2644388481.9158087,77631187250.36414,55043526939.81335
U4_34173,3.8486750810048544,0.04800842096887553,19054607179.632442,1905460717.9632444,22.82331,2.2823309999999997,21363066555.292343,1802959077.4544733,2991628231.310356,284335813.7966691,25341932102.935116,1842192019.5240507,44396539282.56756,31706333396.970924
U4_34545,2.7637971570149915,0.05775098537046249,3388441561.3920207,338844156.13920206,9.963077,0.9963077,4966888772.844475,400605561.62447673,749767100.5968919,68778499.12568767,5964079016.638341,410916737.9307331,9352520578.030361,6859429621.453562
U4_36227,3.1741736807513545,0.030742602234879936,6025595860.743568,602559586.0743568,25.604382,2.5604381999999997,8730174432.44253,677845277.8064502,1311421982.725259,115731927.34187411,10474365669.467125,695101901.3200047,16499961530.210693,12083879412.453665
U4_39208,2.571160456418722,0.08686352893306494,5370317963.702533,537031796.3702533,3.981072,0.39810720000000005,7349251271.047647,666801748.9374592,1033288990.2323183,105632230.22564307,8723525628.056631,681441307.7233506,14093843591.759163,10244033112.726011
