Name,log(Rgas_lerr),log(Rgas),log(Rgas_uerr),log(SBgas_lerr),log(SBgas),log(SBgas_uerr)
S-zvipe_z1_1543,1.191363580670627,1.2093884191085098,1.2278489904509604,0.05942499092954632,0.06595143416970208,0.07231445454623339
S-zvipe_z1_1577,1.694622635746587,1.7375705816810494,1.7613615749558478,-0.02906510532694588,-0.019922559832930415,-0.010665200751758063
S-zvipe_z1_1580,0.9047787679503648,0.9152347634335729,0.9258671460044667,0.05637371165710787,0.060806357636765354,0.06519722567521473
S-zvipe_z1_1991,0.8090452471031014,0.8197665988422111,0.8305478512615782,0.16010404132009787,0.1689773773975467,0.17774253964663156
S-zvipe_z1_2064,1.0994363754394487,1.1191922291360334,1.1392778390781975,0.05443405035874052,0.06030850271454001,0.06618413089724062
S-zvipe_z1_2597,1.1226904788696939,1.1384807140241615,1.1545465486047177,0.0752892428909159,0.08183451492884185,0.08830255400345091
S-zvipe_z1_2603,1.101614377719881,1.1215174150610103,1.1423860552553449,0.05742465784246936,0.0668386284781463,0.07621722483512995
S-zvipe_z1_2740,0.9892571521411926,1.0113575428812656,1.0345774097762253,0.10054628561166447,0.11357497055942176,0.1262872631809685
S-zvipe_z1_3488,1.2482914098275948,1.2960666338138926,1.3512654217402524,0.0517585860354448,0.07392000284401111,0.09541203448814607
S-zvipe_z1_3500,1.1762440955993403,1.2311250284545854,1.2929933414776422,0.030529708823387673,0.05038023164605154,0.06970748627370042
S-zvipe_z1_817,0.811730809178248,0.8320254190538785,0.8531140539424071,0.07199205507261579,0.08787861230684921,0.10368778784906502
S-zvipe_z1_819,0.7112562712242035,0.7318329078226433,0.7532888772497938,0.09377341199925768,0.10925886757362914,0.12446416425281168
S-zvvd_z1_186,1.0156141818407642,1.0354892130618973,1.0564122195907832,0.06819025216307495,0.07737202934832672,0.08647211946274908
S-zvvd_z1_206,1.0091077226817922,1.0338352026735564,1.0597865681537217,0.04620611782464239,0.055940562705528704,0.06552934056135933
S-zvvd_z1_450,0.9960842901510975,1.0147608748046963,1.0337634243928049,0.06297687910120181,0.07129822097793634,0.07958309335666651
S-zvvd_z1_475,1.0422194555051896,1.0619947500088385,1.082426948860869,0.07335548372515764,0.08411763274478687,0.09460843718377406
